County,Date,WholeSale,Commodity_Classification,Year_Week,WeekofYear
Kirinyaga,2023-10-02,48.89,Dry_White_Maize,2023-40,40
Nairobi,2023-10-02,49.629999999999995,Dry_White_Maize,2023-40,40
Uasin-Gishu,2023-10-02,46.669999999999995,Dry_White_Maize,2023-40,40
Kisumu,2023-10-02,43.885,Dry_White_Maize,2023-40,40
Kiambu,2023-10-02,46.67,Dry_White_Maize,2023-40,40
Uasin-Gishu,2023-10-09,45.555,Dry_White_Maize,2023-41,41
Nairobi,2023-10-09,45.0,Dry_White_Maize,2023-41,41
Nairobi,2023-10-16,45.555,Dry_White_Maize,2023-42,42
Uasin-Gishu,2023-10-16,42.776666666666664,Dry_White_Maize,2023-42,42
Kirinyaga,2023-10-16,45.56,Dry_White_Maize,2023-42,42
Nairobi,2023-10-23,42.22,Dry_White_Maize,2023-43,43
Uasin-Gishu,2023-10-23,41.11,Dry_White_Maize,2023-43,43
Kisumu,2023-10-23,48.34,Dry_White_Maize,2023-43,43
Kirinyaga,2023-10-30,42.03666666666667,Dry_White_Maize,2023-44,44
Uasin-Gishu,2023-10-30,40.555,Dry_White_Maize,2023-44,44
Nairobi,2023-10-30,42.22,Dry_White_Maize,2023-44,44
Embu,2023-10-30,47.78,Dry_White_Maize,2023-44,44
Kisumu,2023-10-30,48.33,Dry_White_Maize,2023-44,44
Kirinyaga,2023-11-06,42.5,Dry_White_Maize,2023-45,45
Uasin-Gishu,2023-11-06,41.11,Dry_White_Maize,2023-45,45
Kisumu,2023-11-06,45.873333333333335,Dry_White_Maize,2023-45,45
Nairobi,2023-11-06,42.22,Dry_White_Maize,2023-45,45
Kisumu,2023-11-13,48.33,Dry_White_Maize,2023-46,46
Kirinyaga,2023-11-13,43.335,Dry_White_Maize,2023-46,46
Nairobi,2023-11-13,42.22,Dry_White_Maize,2023-46,46
Uasin-Gishu,2023-11-13,41.665,Dry_White_Maize,2023-46,46
Kirinyaga,2023-11-27,41.11,Dry_White_Maize,2023-48,48
Uasin-Gishu,2023-11-27,43.33,Dry_White_Maize,2023-48,48
Nairobi,2023-11-27,43.33,Dry_White_Maize,2023-48,48
Kisumu,2023-12-04,46.665,Dry_White_Maize,2023-49,49
Nyeri,2023-12-04,45.56,Dry_White_Maize,2023-49,49
Kirinyaga,2023-12-04,47.78,Dry_White_Maize,2023-49,49
Nairobi,2023-12-04,43.055,Dry_White_Maize,2023-49,49
Uasin-Gishu,2023-12-04,42.406666666666666,Dry_White_Maize,2023-49,49
Embu,2023-12-04,50.0,Dry_White_Maize,2023-49,49
Uasin-Gishu,2023-12-11,41.945,Dry_White_Maize,2023-50,50
Kisumu,2023-12-11,41.11,Dry_White_Maize,2023-50,50
Nyeri,2023-12-11,45.56,Dry_White_Maize,2023-50,50
Kirinyaga,2023-12-11,44.445,Dry_White_Maize,2023-50,50
Nairobi,2023-12-11,43.33,Dry_White_Maize,2023-50,50
Uasin-Gishu,2024-01-01,44.44,Dry_White_Maize,2024-01,1
Kisumu,2024-01-01,46.665,Dry_White_Maize,2024-01,1
Kirinyaga,2024-01-01,46.11,Dry_White_Maize,2024-01,1
Nairobi,2024-01-01,45.56,Dry_White_Maize,2024-01,1
Kirinyaga,2024-01-08,44.44,Dry_White_Maize,2024-02,2
Embu,2024-01-08,45.56,Dry_White_Maize,2024-02,2
Kiambu,2024-01-15,47.78,Dry_White_Maize,2024-03,3
Uasin-Gishu,2024-01-15,43.89,Dry_White_Maize,2024-03,3
Nairobi,2024-01-15,46.01333333333333,Dry_White_Maize,2024-03,3
Kirinyaga,2024-01-15,43.33,Dry_White_Maize,2024-03,3
Uasin-Gishu,2024-01-22,43.055,Dry_White_Maize,2024-04,4
Nairobi,2024-01-22,45.835,Dry_White_Maize,2024-04,4
Uasin-Gishu,2024-01-29,44.19,Dry_White_Maize,2024-05,5
Kirinyaga,2024-01-29,43.33,Dry_White_Maize,2024-05,5
Nairobi,2024-01-29,45.52,Dry_White_Maize,2024-05,5
Kiambu,2024-02-05,47.78,Dry_White_Maize,2024-06,6
Uasin-Gishu,2024-02-05,42.775,Dry_White_Maize,2024-06,6
Kirinyaga,2024-02-05,44.44,Dry_White_Maize,2024-06,6
Nairobi,2024-02-05,43.33,Dry_White_Maize,2024-06,6
Mombasa,2024-02-05,43.33,Dry_White_Maize,2024-06,6
Kisumu,2024-02-05,43.33,Dry_White_Maize,2024-06,6
Kiambu,2024-02-12,44.44,Dry_White_Maize,2024-07,7
Kirinyaga,2024-02-12,43.33,Dry_White_Maize,2024-07,7
Uasin-Gishu,2024-02-12,40.74,Dry_White_Maize,2024-07,7
Mombasa,2024-02-12,42.775,Dry_White_Maize,2024-07,7
Nairobi,2024-02-12,41.11,Dry_White_Maize,2024-07,7
Nairobi,2024-02-19,39.99,Dry_White_Maize,2024-08,8
Mombasa,2024-02-26,37.78,Dry_White_Maize,2024-09,9
Nairobi,2024-02-26,38.89,Dry_White_Maize,2024-09,9
Kirinyaga,2024-02-26,41.665,Dry_White_Maize,2024-09,9
Mombasa,2024-03-04,36.11,Dry_White_Maize,2024-10,10
Nairobi,2024-03-04,36.11,Dry_White_Maize,2024-10,10
Kiambu,2024-03-04,37.78,Dry_White_Maize,2024-10,10
Uasin-Gishu,2024-03-04,36.39,Dry_White_Maize,2024-10,10
Kirinyaga,2024-03-04,28.89,Dry_White_Maize,2024-10,10
Kisumu,2024-03-04,36.11,Dry_White_Maize,2024-10,10
Kirinyaga,2024-03-18,35.56,Dry_White_Maize,2024-12,12
Uasin-Gishu,2024-03-18,34.81666666666667,Dry_White_Maize,2024-12,12
Nairobi,2024-03-18,35.835,Dry_White_Maize,2024-12,12
Kiambu,2024-03-18,39.44,Dry_White_Maize,2024-12,12
Mombasa,2024-03-18,35.56,Dry_White_Maize,2024-12,12
Kisumu,2024-03-18,35.56,Dry_White_Maize,2024-12,12
Nairobi,2024-03-25,39.0,Dry_White_Maize,2024-13,13
Nairobi,2024-04-01,35.56,Dry_White_Maize,2024-14,14
Uasin-Gishu,2024-04-15,35.368,Dry_White_Maize,2024-16,16
Nairobi,2024-04-15,35.56,Dry_White_Maize,2024-16,16
Mombasa,2024-04-15,35.56,Dry_White_Maize,2024-16,16
Uasin-Gishu,2024-04-22,34.07,Dry_White_Maize,2024-17,17
